City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
197,El Alto,PE,2021-12-22 01:43:31,-4.2714,-81.2147,64.06,83,6,10.54
198,Stornoway,GB,2021-12-22 01:43:32,58.2093,-6.3865,40.96,88,90,4.61
199,Baruun-Urt,MN,2021-12-22 01:43:32,46.6806,113.2792,1.54,86,55,2.44
200,Batagay-Alyta,RU,2021-12-22 01:43:15,67.8006,130.4114,-19.08,93,100,1.16
201,Kismayo,SO,2021-12-22 01:43:32,-0.3582,42.5454,80.01,84,96,11.7
202,Sigli,ID,2021-12-22 01:43:33,5.3848,95.9609,79.02,75,91,1.32
203,Lebu,CL,2021-12-22 01:43:33,-37.6167,-73.65,55.6,90,0,19.46
204,Saint-Louis,SN,2021-12-22 01:43:33,16.3333,-15.0,76.51,22,100,9.1
205,Mareeba,AU,2021-12-22 01:39:22,-17.0,145.4333,92.32,47,50,4.68
206,Makokou,GA,2021-12-22 01:43:34,0.5738,12.8642,70.47,78,64,1.21
207,Koutiala,ML,2021-12-22 01:43:34,12.3917,-5.4642,70.47,19,70,8.48
208,Hervey Bay,AU,2021-12-22 01:43:34,-25.2986,152.8535,86.11,57,1,7.49
209,Nabire,ID,2021-12-22 01:43:35,-3.3667,135.4833,87.66,60,92,4.16
210,Avarua,CK,2021-12-22 01:40:37,-21.2078,-159.775,80.65,69,40,13.8
211,Maxixe,MZ,2021-12-22 01:43:35,-23.8597,35.3472,70.16,77,86,3.29
212,Perigueux,FR,2021-12-22 01:43:35,45.1833,0.7167,38.97,79,8,5.01
213,Bara,NG,2021-12-22 01:43:35,10.3744,10.7288,64.15,35,4,8.14
214,Valparaiso,CL,2021-12-22 01:43:12,-33.0393,-71.6273,60.44,82,0,3.44
215,Mount Gambier,AU,2021-12-22 01:43:36,-37.8333,140.7667,67.91,56,75,10.36
216,Henties Bay,NA,2021-12-22 01:43:36,-22.116,14.2845,62.85,88,0,4.16
217,Guerrero Negro,MX,2021-12-22 01:43:36,27.9769,-114.0611,63.59,53,100,12.75
218,Tirat Karmel,IL,2021-12-22 01:43:37,32.7617,34.9719,54.95,84,55,6.22
219,Taoudenni,ML,2021-12-22 01:43:37,22.6783,-3.9836,69.33,32,100,9.28
220,Kamenka,RU,2021-12-22 01:43:37,51.3223,42.7678,4.75,96,61,4.92
221,Westport,US,2021-12-22 01:41:06,41.1415,-73.3579,42.55,73,90,5.99
222,Kidodi,TZ,2021-12-22 01:43:38,-7.6036,37.0044,71.73,94,61,3.11
223,Yatou,CN,2021-12-22 01:43:38,37.15,122.3833,41.52,55,1,4.09
224,Batticaloa,LK,2021-12-22 01:43:38,7.7102,81.6924,77.56,79,37,5.61
225,Northam,GB,2021-12-22 01:43:38,51.0333,-4.2167,44.22,86,100,16.02
226,Urengoy,RU,2021-12-22 01:43:39,65.9667,78.3667,-5.8,97,100,11.72
227,Kuminskiy,RU,2021-12-22 01:43:39,58.6667,66.5667,26.85,96,100,9.51
228,Kristiinankaupunki,FI,2021-12-22 01:43:39,62.2743,21.376,14.68,99,85,3.18
229,Kavaratti,IN,2021-12-22 01:44:40,10.5669,72.642,79.14,63,31,5.97
230,Port Hardy,CA,2021-12-22 01:44:40,50.6996,-127.4199,37.4,93,90,16.11
231,Evensk,RU,2021-12-22 01:44:40,61.95,159.2333,6.67,65,100,15.35
232,Palu,ID,2021-12-22 01:44:41,-0.8917,119.8707,85.64,65,100,2.04
